Cod Produto,Nome Produto,Preco Lista,Preco,Base Preco,Ref Marca,Trade Policy,Skuid,Id Listapreco,Canal Venda,Data Alterado
201,Caixa Com 6 Unidades De Escova Sensitive Hit 40 mm,186.3,,,,1,608,1,1,2023-05-17 22:44:12.660000
202,Caixa Com 6 Unidades De Escova Sensitive Hit 35 mm,252.9,,,,1,609,1,1,2023-05-17 22:44:12.660000
203,Caixa Com 6 Unidades De Escova Sensitive Hit 25 mm,133.2,,,,1,610,1,1,2023-05-17 22:44:12.660000
204,Caixa Com 6 Unidades De Escova Sensitive Hit 20 mm,212.9,,,,1,611,1,1,2023-05-17 22:44:12.660000
205,Limpador Perfumado Esfrelux Emoção 500 ml,3.7,,,,1,165,1,1,2023-05-17 22:44:12.660000
206,Limpador Perfumado Esfrelux Mistérios 500 ml,3.7,,,,1,166,1,1,2023-05-17 22:44:12.660000
207,Limpador Perfumado Esfrelux Frescor 500 ml,3.7,,,,1,167,1,1,2023-05-17 22:44:12.660000
208,Limpador Perfumado Esfrelux Sensualidade 1 L,5.9,,,,1,168,1,1,2023-05-17 22:44:12.660000
209,Limpador Perfumado Esfrelux Harmonia 1 L,5.9,,,,1,169,1,1,2023-05-17 22:44:12.660000
210,Pedra Sanitária Esfrelux Eucalipto 25 g,2.1,,,,1,170,1,1,2023-05-17 22:44:12.660000
211,Pedra Sanitária Esfrelux Floral 25 g,2.1,,,,1,171,1,1,2023-05-17 22:44:12.660000
